,name,formatted_address,rating,user_ratings_total,types,price_level,dance_type,city
0,Gonzalez y Gonzalez,"192 Mercer St, New York, NY 10012, United States",4.1,1820,"['restaurant', 'night_club', 'food', 'point_of_interest', 'establishment']",2.0,Salsa,New York
1,Club Cache,"214 W 39th St, New York, NY 10018, United States",3.9,261,"['night_club', 'point_of_interest', 'establishment']",,Salsa,New York
2,Salsa Con Fuego,"2297 Cedar Ave, Bronx, NY 10468, United States",4.2,5711,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,Salsa,New York
3,Copacabana Nightclub,"625 W 51st St, New York, NY 10019, United States",3.5,631,"['night_club', 'point_of_interest', 'establishment']",,Salsa,New York
4,230 Fifth Rooftop Bar,"1150 Broadway, New York, NY 10001, United States",4.3,21498,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,New York
5,Deseos Lounge,"52-15 Roosevelt Ave, Woodside, NY 11377, United States",4.1,175,"['night_club', 'bar', 'point_of_interest', 'establishment']",,Salsa,New York
6,Salsamania Saturdays,"224 W 35th St, New York, NY 10001, United States",4.8,93,"['point_of_interest', 'establishment']",,Salsa,New York
7,The Delancey Rooftop,"168 Delancey St, New York, NY 10002, United States",4.0,1800,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,Salsa,New York
8,Bembe,"81 S 6th St, Brooklyn, NY 11249, United States",4.3,1226,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,New York
9,LVG Salsa Social NYC,"617 W 46th St, New York, NY 10036, United States",4.9,39,"['point_of_interest', 'establishment']",,Salsa,New York
10,Candela Fridays NYC,"37 W 26th St, New York, NY 10010, United States",4.9,16,"['point_of_interest', 'establishment']",,Salsa,New York
11,Joel Salsa,"38 W 32nd St 4th floor, New York, NY 10001, United States",5.0,456,"['point_of_interest', 'establishment']",,Salsa,New York
12,Solas,"232 E 9th St # 1, New York, NY 10003, United States",3.9,860,"['bar', 'point_of_interest', 'establishment']",2.0,Salsa,New York
13,Sounds Of Brazil,"204 Varick St, New York, NY 10014, United States",3.7,575,"['night_club', 'bar', 'point_of_interest', 'establishment']",3.0,Salsa,New York
14,Hairos Night Club,"81-09 Roosevelt Ave, Jackson Heights, NY 11372, United States",3.6,77,"['night_club', 'bar', 'point_of_interest', 'establishment']",,Salsa,New York
15,Salsa Sabrosa,"410-412 8th Ave 4th Floor, New York, NY 10001, United States",5.0,244,"['point_of_interest', 'establishment']",,Salsa,New York
16,Salsa in Queens,"34-27 Steinway St, Astoria, NY 11101, United States",4.9,140,"['point_of_interest', 'establishment']",,Salsa,New York
17,Salsa y Sazon,"370 E 146th St, Bronx, NY 10455, United States",4.3,127,"['night_club', 'bar', 'point_of_interest', 'establishment']",,Salsa,New York
18,KS Bachata Sensual NYC - Art of Bachata Sensual,"38W W 32nd St #405, New York, NY 10001, United States",4.9,165,"['point_of_interest', 'establishment']",,Salsa,New York
19,Rumpus Room,"249 Eldridge St, New York, NY 10002, United States",4.2,474,"['night_club', 'point_of_interest', 'establishment']",,Salsa,New York
20,Salsa - Soho,"96 Charing Cross Rd, London WC2H 0JG, United Kingdom",4.5,8036,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,London
21,Salsa - Temple,"Victoria Embankment, Temple, London WC2R 2PH, United Kingdom",4.7,8021,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,London
22,Hammersmith Salsa & Bachata Club,"11 Rutland Grove, London W6 9DH, United Kingdom",4.9,181,"['bar', 'point_of_interest', 'establishment']",,Salsa,London
23,La Pollera Colora,"4-6 London Bridge St, London SE1 9SG, United Kingdom",3.2,234,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,London
24,Salsatropical Dance Company Ltd.- Salsa & Bachata Classes and Workshops,"1 Sheffield St, London WC2A 2AP, United Kingdom",4.9,386,"['point_of_interest', 'establishment']",,Salsa,London
25,Rumba,"36 Shaftesbury Ave, London W1D 7EP, United Kingdom",3.4,1700,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,London
26,Floripa,"91-92 Great Eastern St, London EC2A 3HZ, United Kingdom",3.3,1404,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,London
27,Club Azucar - Latin Dance,"King St, London W6 9JT, United Kingdom",5.0,99,"['point_of_interest', 'establishment']",,Salsa,London
28,Exilio Latinx Party,"267 Kingsland Rd, Whitmore Estate, London E2 8AS, United Kingdom",3.1,33,"['night_club', 'point_of_interest', 'establishment']",,Salsa,London
29,Casa De Salsa,"65 Fieldgate St, London E1 1JU, United Kingdom",5.0,22,"['night_club', 'point_of_interest', 'establishment']",,Salsa,London
30,"LATIN KRAZY THURSDAYS ,Salsa and Bachata Dance classes and Party night","Bar Salsa, Temple Pl, Temple, London WC2R 2PH, United Kingdom",3.6,14,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,Salsa,London
31,Caramelo Latin Dance Academy,"Paddington Academy, 50 Marylands Rd, London W9 2DR, United Kingdom",4.6,114,"['point_of_interest', 'establishment']",,Salsa,London
32,"Rhythm & Vibes Dance Co - Salsa, Bachata & Kizomba Classes Parties London","Salsa!, Victoria Embankment, Temple, London WC2R 2PH, United Kingdom",5.0,74,"['point_of_interest', 'establishment']",,Salsa,London
33,City Salsa London Salsa Classes and Clubs,"Clapham Junction, 68 Battersea Rise, London SW11 1EQ, United Kingdom",4.7,20,"['night_club', 'point_of_interest', 'establishment']",,Salsa,London
34,SOS Salsa On Sundays,"2 Regent's Park Rd, London NW1 7AY, United Kingdom",4.7,12,"['night_club', 'point_of_interest', 'establishment']",,Salsa,London
35,The Latin Passion,"Leicester House, 1 Leicester St, London WC2H 7BP, United Kingdom",4.8,16,"['point_of_interest', 'establishment']",,Salsa,London
36,Wimbledon Salsa and Bachata Club and Classes,"44 St George's Rd, London SW19 4ED, United Kingdom",5.0,45,"['point_of_interest', 'establishment']",,Salsa,London
37,"Salsa, Bachata, Kizomba classes","Clarendon Rd, Watford WD17 1JJ, United Kingdom",4.9,27,"['point_of_interest', 'establishment']",,Salsa,London
38,Earl's Court Salsa & Bachata Club,"St Philip’s Church, Upper Grand Hall, Earls Ct Rd W8 6QH, United Kingdom",5.0,42,"['point_of_interest', 'establishment']",,Salsa,London
39,"Rhythm & Vibes Dance Co - Kizomba, Salsa & Bachata Monthly Saturday Party in London","St Johns Angell Town School, 85 Angell Rd, London SW9 7HH, United Kingdom",4.7,51,"['point_of_interest', 'establishment']",,Salsa,London
40,Dos Mundos,"aleje Jerozolimskie 123A, 02-017 Warszawa, Poland",4.6,342,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Warsaw
41,Warsaw Salsa Club,"Nowowiejska 37B, 00-001 Warszawa, Poland",4.9,88,"['point_of_interest', 'establishment']",,Salsa,Warsaw
42,Teatro Cubano Warsaw,"Aleksandra Fredry 6, 00-097 Warszawa, Poland",3.5,6622,"['bar', 'movie_theater', 'night_club', 'restaurant', 'point_of_interest', 'food', 'establishment']",,Salsa,Warsaw
43,Klub Medyka,"Wojciecha Oczki 1A, 02-007 Warszawa, Poland",4.0,773,"['night_club', 'restaurant', 'point_of_interest', 'food', 'establishment']",2.0,Salsa,Warsaw
44,Level 27,"aleje Jerozolimskie 123A, 02-017 Warszawa, Poland",4.0,3017,"['night_club', 'bar', 'point_of_interest', 'establishment']",3.0,Salsa,Warsaw
45,Salsa Libre,"Żelazna 59, 00-848 Warszawa, Poland",4.7,245,"['point_of_interest', 'establishment']",,Salsa,Warsaw
46,ENKLAWA Art & Music Club,"Mazowiecka 12, 00-048 Warszawa, Poland",4.2,1658,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,Warsaw
47,RITUAL Cocktail Club,"Mazowiecka 12, 00-048 Warszawa, Poland",4.4,2070,"['night_club', 'bar', 'point_of_interest', 'establishment']",3.0,Salsa,Warsaw
48,Dekada Club,"Grójecka 19/25, 02-021 Warszawa, Poland",4.0,2403,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Warsaw
49,Salsa Clasica,"Juliana Bartoszewicza 5, 00-337 Warszawa, Poland",4.8,97,"['point_of_interest', 'establishment']",,Salsa,Warsaw
50,Viva Cuba Dance Studio,"Marszałkowska 115 wejście od, Przechodnia, 00-102 Warszawa, Poland",4.8,131,"['point_of_interest', 'establishment']",,Salsa,Warsaw
51,Tygmont Live Club,"Mazowiecka 6/8, 00-048 Warszawa, Poland",4.0,1312,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Warsaw
52,Luzztro,"aleje Jerozolimskie 6, 00-374 Warszawa, Poland",3.9,1102,"['night_club', 'point_of_interest', 'store', 'establishment']",2.0,Salsa,Warsaw
53,Club Stereo,"Nowy Świat 21, 00-029 Warszawa, Poland",3.8,533,"['bar', 'point_of_interest', 'establishment']",,Salsa,Warsaw
54,Patio Latino (Bar pod Mostem Poniatowskiego),"Powisle, Leona Kruczkowskiego 15B, 00-380 Warszawa, Poland",4.7,537,"['night_club', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2.0,Salsa,Warsaw
55,Polish School of Dance Club,"Wał Miedzeszyński 646, 03-994 Warszawa, Poland",4.9,69,"['point_of_interest', 'establishment']",,Salsa,Warsaw
56,La Playa Music Bar,"Wybrzeże Helskie 1/5, 03-459 Warszawa, Poland",4.0,2298,"['night_club', 'bar', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",2.0,Salsa,Warsaw
57,Macondo Restauracja,"Poznańska 16, 00-680 Warszawa, Poland",4.5,240,"['restaurant', 'night_club', 'bar', 'point_of_interest', 'food', 'establishment']",,Salsa,Warsaw
58,Dance.warsaw & SDS (salsa + bachata + high heels + K-pop),"Chłodna 29, 00-867 Warszawa, Poland",4.8,81,"['point_of_interest', 'establishment']",,Salsa,Warsaw
59,Club Room 13,"Mazowiecka 13, 00-052 Warszawa, Poland",3.4,1434,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,Warsaw
60,Discoteca El Son,"C. de la Victoria, 6, Centro, 28012 Madrid, Spain",4.1,3323,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,Madrid
61,Discoteca Azúcar,"C. de Atocha, 107, Centro, 28012 Madrid, Spain",3.8,457,"['night_club', 'point_of_interest', 'establishment']",1.0,Salsa,Madrid
62,Enchufla Club de Salsa,"C. Cerro de la Alcazaba, 38, Puente de Vallecas, 28053 Madrid, Spain",4.7,75,"['night_club', 'point_of_interest', 'establishment']",1.0,Salsa,Madrid
63,The Host Club,"C. de Ferraz, 38, Moncloa - Aravaca, 28008 Madrid, Spain",4.1,1156,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Madrid
64,Golden Gran Vía,"Pl. de los Mostenses, 11, Centro, 28013 Madrid, Spain",3.8,839,"['night_club', 'point_of_interest', 'establishment']",1.0,Salsa,Madrid
65,Nuvo Latín Bar,"C. del Estrecho de Gibraltar, 12, Cdad. Lineal, 28027 Madrid, Spain",4.4,255,"['night_club', 'point_of_interest', 'establishment']",1.0,Salsa,Madrid
66,DANCES WITH STYLE / CUBAN SALSA CLASSES IN MADRID,"C. de Carretas, 14, 5º F, Centro, 28012 Madrid, Spain",4.9,32,"['point_of_interest', 'establishment']",,Salsa,Madrid
67,Center Mambo Latino,"C. de Orense, 22, Tetuán, 28020 Madrid, Spain",3.8,339,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Madrid
68,Calle Son: escuela especializada en Casino (salsa cubana),"C. de la Esgrima, 11, Centro, Centro, 28012 Madrid, Spain",4.9,86,"['point_of_interest', 'establishment']",,Salsa,Madrid
69,Sala Stella,"C. de Arlabán, 7, Centro, 28014 Madrid, Spain",3.8,616,"['night_club', 'point_of_interest', 'establishment']",1.0,Salsa,Madrid
70,The Jungle,"C. del Gral. Oráa, 26, Salamanca, 28006 Madrid, Spain",4.9,28,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Madrid
71,Club 54,"C. de Barbieri, 7, Centro, 28004 Madrid, Spain",4.1,568,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,Madrid
72,Sala Cats,"C. de Julián Romea, 4, Chamberí, 28003 Madrid, Spain",3.0,3366,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Madrid
73,Salsabachata Avenida de América,"C. de Coslada, 19, Salamanca, 28028 Madrid, Spain",4.8,925,"['school', 'point_of_interest', 'establishment']",,Salsa,Madrid
74,Commo,"C. de Espoz y Mina, 22, Centro, 28012 Madrid, Spain",3.8,1359,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,Madrid
75,Samsara,"C. de la Cruz, 7, Centro, 28012 Madrid, Spain",4.1,3043,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Madrid
76,Super Dancers Family,"P.º de la Florida, 18, Moncloa - Aravaca, 28008 Madrid, Spain",4.7,43,"['point_of_interest', 'establishment']",,Salsa,Madrid
77,"ABAILARMADRID - Dance, friends and fun","Metro: Diego de León, C. de Azcona, 44, puerta de la izquierda), 1ª pl, Salamanca, 28028 Madrid, Spain",4.8,29,"['school', 'point_of_interest', 'establishment']",,Salsa,Madrid
78,Salsabachata Quevedo,"C. de Cercedilla, 3, Chamberí, 28015 Madrid, Spain",4.8,964,"['school', 'point_of_interest', 'establishment']",,Salsa,Madrid
79,Discoteca la Rosa,"C. Francisco de Icaza, 3, Carabanchel, 28025 Madrid, Spain",3.9,677,"['night_club', 'point_of_interest', 'establishment']",1.0,Salsa,Madrid
80,Antilla Barcelona,"Carrer de Viladomat, 211, L'Eixample, 08015 Barcelona, Spain",4.1,1043,"['point_of_interest', 'establishment']",1.0,Salsa,Barcelona
81,Seven Dance Gràcia,"Carrer del Perill, 10, Gràcia, 08012 Barcelona, Spain",4.5,509,"['point_of_interest', 'establishment']",,Salsa,Barcelona
82,El Sabor,"Carrer de Francisco Giner, 32, Gràcia, 08012 Barcelona, Spain",4.5,1073,"['bar', 'point_of_interest', 'establishment']",1.0,Salsa,Barcelona
83,El Bombó Salsa,"Carrer de la Mercè, 13, Ciutat Vella, 08002 Barcelona, Spain",4.0,712,"['bar', 'point_of_interest', 'establishment']",2.0,Salsa,Barcelona
84,Discoteca Latin Palace Barcelona,"Carrer de Ramon Trias Fargas, 2-4, Ciutat Vella, 08005 Barcelona, Spain",4.2,2109,"['night_club', 'bar', 'point_of_interest', 'establishment']",,Salsa,Barcelona
85,Bailongu,"Passatge d'Utset, 11-13, L'Eixample, 08013 Barcelona, Spain",4.6,470,"['point_of_interest', 'establishment']",,Salsa,Barcelona
86,Canela Dance Club,"Carrer de Ca l'Alegre de Dalt, 55, Gràcia, 08024 Barcelona, Spain",3.4,596,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Barcelona
87,Agua De Luna,"Carrer de Viladomat, 211, L'Eixample, 08029 Barcelona, Spain",3.7,21,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Barcelona
88,Habana Barcelona,"Pg. de Joan de Borbó, 74, Ciutat Vella, 08039 Barcelona, Spain",3.7,149,"['restaurant', 'point_of_interest', 'food', 'establishment']",2.0,Salsa,Barcelona
89,Bcn Baila - Salsa classes - Bachata and more!,"Carrer d'Aragó, 178, L'Eixample, 08011 Barcelona, Spain",4.9,156,"['point_of_interest', 'establishment']",,Salsa,Barcelona
90,Gràcia Llatina,"Carrer de l'Or, 19, Gràcia, 08012 Barcelona, Spain",4.2,1314,"['bar', 'point_of_interest', 'establishment']",,Salsa,Barcelona
91,MULTICULTURAL SALSA Y BACHATA BARCELONA,"Carrer d'Ausiàs Marc, 125, L'Eixample, 08013 Barcelona, Spain",4.9,27,"['school', 'point_of_interest', 'establishment']",,Salsa,Barcelona
92,D'Rumba Barcelona,"Carrer de Viladomat, 211, L'Eixample, 08015 Barcelona, Spain",3.7,861,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Barcelona
93,Otto Zutz Club,"Carrer de Lincoln, 15, Sarrià-Sant Gervasi, 08006 Barcelona, Spain",3.3,4835,"['night_club', 'point_of_interest', 'establishment']",3.0,Salsa,Barcelona
94,Le Queen Barcelona,"Carrer dels Escudellers, 5, Ciutat Vella, 08002 Barcelona, Spain",3.7,154,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Barcelona
95,Ocean Barcelona,"Carrer de Balmes, 32, L'Eixample, 08007 Barcelona, Spain",3.7,141,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Barcelona
96,Nit Bar,"Carrer de Juan de Garay, 5, Sant Andreu, 08041 Barcelona, Spain",3.9,221,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",1.0,Salsa,Barcelona
97,salsa in barcelona - ¡Ay Mi Salsa!,"Carrer dels Carders, 12, Ciutat Vella, 08003 Barcelona, Spain",5.0,30,"['point_of_interest', 'establishment']",,Salsa,Barcelona
98,Escola de dansa i batxata Marcant el pas,"Carrer de la Lluna, 29, Ciutat Vella, 08001 Barcelona, Spain",4.9,126,"['point_of_interest', 'establishment']",,Salsa,Barcelona
99,"BAR CUBANO "" EL YA TU SABES""","FONTANA O DIAGONAL, C Mas, 7, Gracia, 08012 Barcelona, Spain",4.5,210,"['bar', 'point_of_interest', 'establishment']",1.0,Salsa,Barcelona
100,School Dances Latines Salsanueva,"32 Rue du Capitaine Marchal, 75020 Paris, France",4.9,266,"['point_of_interest', 'establishment']",,Salsa,Paris
101,La Pachanga,"8 Rue Vandamme, 75014 Paris, France",3.6,590,"['night_club', 'restaurant', 'point_of_interest', 'food', 'establishment']",2.0,Salsa,Paris
102,Canela Club,"77 Rue du Faubourg du Temple, 75010 Paris, France",3.5,147,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Paris
103,Le Balajo,"9 Rue de Lappe, 75011 Paris, France",3.5,1548,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Paris
104,Salsero Pub Latino,"9 Rue du Petit Pont, 75005 Paris, France",3.7,1062,"['bar', 'point_of_interest', 'establishment']",2.0,Salsa,Paris
105,Ecole Danses Latines-Tropicales Salsadanse.com,"40 Rue de Cîteaux, 75012 Paris, France",4.7,257,"['point_of_interest', 'establishment']",,Salsa,Paris
106,Studio Massaro - School Dances Latines - Paris Nation,"290 Bd Voltaire, 75011 Paris, France",4.4,311,"['point_of_interest', 'establishment']",,Salsa,Paris
107,Pub,"40 Rue de la Huchette, 75005 Paris, France",3.5,627,"['bar', 'point_of_interest', 'establishment']",,Salsa,Paris
108,Salsalianza _ Studio Bleu,"Entrée entre DEVREDetLCL _ deuxième sous-sol, 14 Bd Poissonnière, 75009 Paris, France",4.7,57,"['point_of_interest', 'establishment']",,Salsa,Paris
109,Cuba Compagnie Café,"48 Bd Beaumarchais, 75011 Paris, France",4.2,3210,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2.0,Salsa,Paris
110,Salsabor Paris,"31 Rue Chapon, 75003 Paris, France",4.9,118,"['point_of_interest', 'establishment']",,Salsa,Paris
111,"Cubana Café , Soirées Salsa, Bar à Cocktails, Bar de nuit, Fumoir, Restaurant Montparnasse","47 Rue Vavin, 75006 Paris, France",4.3,1958,"['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']",2.0,Salsa,Paris
112,"Evoke Paris Dance, Salsa, Bachata, Burlesque, Ballroom, Wedding Choreoraphies, Classes & lessons","14 Rue de Châteaudun, 75009 Paris, France",5.0,20,"['school', 'point_of_interest', 'establishment']",,Salsa,Paris
113,Salsa,"11 Bis Quai Saint-Bernard, 75005 Paris, France",3.9,29,"['point_of_interest', 'establishment']",,Salsa,Paris
114,Le Roméo,"71 Bd Saint-Germain, 75005 Paris, France",3.2,453,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Paris
115,Para La Salsa,"8 Rue de Bièvre, 75005 Paris, France",5.0,24,"['point_of_interest', 'establishment']",,Salsa,Paris
116,SALSA CON ELEGUA,"1 Av. Pierre Masse, 75014 Paris, France",4.9,321,"['point_of_interest', 'establishment']",,Salsa,Paris
117,"Vueltasol - Course Dances Latines Salsa Bachata Particuliers, Bal Mariage, Workshops Business & Events","79 Rue de la Croix Nivert, 75015 Paris, France",5.0,13,"['point_of_interest', 'establishment']",,Salsa,Paris
118,Bachata - Equis,"10 Rue des Terres au Curé, 75013 Paris, France",4.8,5,"['point_of_interest', 'establishment']",,Salsa,Paris
119,Mariebsalsa,"chez Paris Mambo, 48 Rue de la Gare de Reuilly, 75012 Paris, France",5.0,46,"['point_of_interest', 'establishment']",,Salsa,Paris
120,Casa de la Salsa,"Jaime, Lima 169, La Victoria 15033, Peru",4.2,348,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Lima
121,La Casona de Camana,"Jr. Camaná 975, Lima 15001, Peru",3.9,4565,"['bar', 'point_of_interest', 'establishment']",,Salsa,Lima
122,Son de Cuba,"Pje. San Ramón 277, Miraflores 15074, Peru",4.1,882,"['point_of_interest', 'establishment']",,Salsa,Lima
123,Bachata Club.,"Av. Javier Prado Este 1179, La Victoria 15034, Peru",4.7,3,"['point_of_interest', 'establishment']",,Salsa,Lima
124,Karamba Latin Disco,"Av Industrial 3677, Independencia 15311, Peru",4.2,371,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Lima
125,Discoteca Bamboleo,"Av. Calca 187, Ate 15012, Peru",4.0,351,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Lima
126,Bachata Studio - Clases de Salsa y Bachata,"Ca, C. 2 de Mayo 524, Miraflores, Peru",5.0,142,"['school', 'point_of_interest', 'establishment']",,Salsa,Lima
127,Nebula,"Gonzáles Prada 194, Miraflores 15074, Peru",4.2,659,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Lima
128,Kimbara Vip,"Av. Petit Thouars 2481, Lince 15046, Peru",4.0,74,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Lima
129,No Se Club,"Av. Nicolás de Piérola 934, Lima 15001, Peru",3.7,3,"['bar', 'point_of_interest', 'establishment']",,Salsa,Lima
130,Sargento Pimienta Rock Bar,"Av. Francisco Bolognesi 757, Barranco 15063, Peru",4.4,1233,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,Salsa,Lima
131,Perú Tropical Dance - San Miguel,"Av. de la Marina 2927, San Miguel 15087, Peru",4.8,34,"['point_of_interest', 'establishment']",,Salsa,Lima
132,Zipango Bar & Show,"Sanchez Carrion 131, Barranco 15063, Peru",4.0,582,"['night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,Salsa,Lima
133,Larco Club,"Av. José Larco 760, Miraflores 15074, Peru",4.2,57,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Lima
