,name,formatted_address,rating,user_ratings_total,types,price_level,dance_type,city
207,Salsa Con Fuego,"2297 Cedar Ave, Bronx, NY 10468, United States",4.2,5711,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2.0,Bachata,New York
208,Lorenz Latin Dance Studio Manhattan,"2153 2nd Ave, New York, NY 10029, United States",4.9,49,"['school', 'point_of_interest', 'establishment']",,Bachata,New York
209,Nieves Latin Dance Studio,"134 W 29th St 6th floor, New York, NY 10001, United States",4.1,10,"['point_of_interest', 'establishment']",,Bachata,New York
210,Salsa Dance Class NYC,"670 Grand St, Brooklyn, NY 11211, United States",5.0,4,"['point_of_interest', 'establishment']",,Bachata,New York
211,Salsa in Queens,"34-27 Steinway St, Astoria, NY 11101, United States",4.9,140,"['point_of_interest', 'establishment']",,Bachata,New York
212,Bachata Embassy NYC,"500 8th Ave, New York, NY 10018, United States",5.0,55,"['school', 'point_of_interest', 'establishment']",,Bachata,New York
213,Mambo Royalty NYC,"939 8th Ave Studio 4A, New York, NY 10019, United States",5.0,14,"['point_of_interest', 'establishment']",,Bachata,New York
214,Carlos Konig Salsa,"520 8th Ave, New York, NY 10018, United States",3.7,3,"['point_of_interest', 'establishment']",,Bachata,New York
215,Salsa - Temple,"Victoria Embankment, Temple, London WC2R 2PH, United Kingdom",4.7,8021,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Bachata,London
216,Salsa - Soho,"96 Charing Cross Rd, London WC2H 0JG, United Kingdom",4.5,8036,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Bachata,London
217,Hammersmith Salsa & Bachata Club,"11 Rutland Grove, London W6 9DH, United Kingdom",4.9,181,"['bar', 'point_of_interest', 'establishment']",,Bachata,London
218,La Pollera Colora,"4-6 London Bridge St, London SE1 9SG, United Kingdom",3.2,234,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Bachata,London
219,Club Azucar - Latin Dance,"King St, London W6 9JT, United Kingdom",5.0,99,"['point_of_interest', 'establishment']",,Bachata,London
220,Exilio Latinx Party,"267 Kingsland Rd, Whitmore Estate, London E2 8AS, United Kingdom",3.1,33,"['night_club', 'point_of_interest', 'establishment']",,Bachata,London
221,Salsatropical Dance Company Ltd.- Salsa & Bachata Classes and Workshops,"1 Sheffield St, London WC2A 2AP, United Kingdom",4.9,386,"['point_of_interest', 'establishment']",,Bachata,London
